SchID,Grade,HomeLanguage,Ethnicity,ReadingPercentTotal,MathPercentTotal
117,6,Tigrinya (Tigrigna),African-American,26.5,10
117,8,NA,African-American,33,15
226,5,NA,African-American,43,70
249,6,NA,African-American,NA,NA
226,3,Oromo (Ethiopia),African-American,22.5,58.5
226,4,NA,White,58.5,56.5
249,7,English,African-American,86,63.5
117,7,Vietnamese,Asian,94,74
110,8,Vietnamese,Asian,49,84
117,6,Toishanese,Asian,41,81
117,8,Cantonese,Asian,31,75
117,8,Spanish,Hispanic,57.5,81
226,3,NA,White,74.5,46.5
117,7,Spanish,Hispanic,46,39
226,3,Vietnamese,Asian,19,33
272,2,Spanish,Hispanic,14,22
212,3,NA,White,60,45
949,7,NA,Asian,39,17.5
117,8,Cantonese,Asian,NA,NA
226,4,Vietnamese,Asian,45.5,86.5
117,7,NA,Hispanic,98,73
117,8,NA,Hispanic,85,67
205,4,Cantonese,Asian,58.5,73.5
935,8,Spanish,Hispanic,28.5,32
288,3,NA,White,99,97.5
226,4,Oromo (Ethiopia),African-American,22.5,57
244,4,Somali,African-American,53,39.5
117,7,NA,Asian,NA,2
256,5,NA,African-American,84,76.5
226,2,Spanish,Hispanic,24,24
117,6,Somali,African-American,60,27
117,8,Vietnamese,Asian,5,3
249,8,NA,African-American,NA,NA
117,8,NA,M,81.5,82
117,8,NA,Hispanic,34,21
244,4,NA,African-American,62.5,54
272,4,Punjabi,Asian,6.5,25.5
249,6,NA,White,8,22
226,3,Somali,African-American,35.5,7
118,8,Oromo (Ethiopia),African-American,76.5,82.5
233,4,NA,African-American,61,61
248,5,NA,African-American,59.5,55.5
226,2,Spanish,Hispanic,NA,NA
117,8,NA,African-American,62.5,45
117,7,Burmese,Asian,46,48
117,8,Tigrinya (Tigrigna),African-American,18,53
117,7,NA,White,47.5,8
117,6,Toishanese,Asian,20,51
226,4,Vietnamese,Asian,50,22
117,8,NA,Asian,83.5,87
117,8,Amharic,African-American,82.5,78
117,6,Somali,African-American,1,7
226,2,Vietnamese,Asian,NA,NA
226,3,Somali,African-American,38,28.5
117,6,Vietnamese,Asian,51.5,55.5
117,7,Cantonese,Asian,20,70.5
117,6,Cantonese,Asian,70,64.5
226,5,Spanish,Hispanic,6.5,2.5
275,4,Vietnamese,Asian,24.5,44
110,8,NA,African-American,37.5,49.5
212,4,Spanish,Hispanic,64,23
212,5,Spanish,Hispanic,8.5,18.5
272,5,Burmese,Asian,4.5,51.5
244,4,NA,African-American,12.5,66.5
117,6,NA,African-American,73,75
212,5,NA,Hispanic,86.5,32
268,4,Vietnamese,Asian,4,4.5
226,3,Vietnamese,Asian,32,32
117,7,Spanish,Hispanic,10,4
117,7,Cantonese,Asian,82.5,83
117,8,Tagalog,Hispanic,15,26
117,6,Tagalog,Asian,53,43
117,7,NA,White,97,82
272,5,Spanish,Hispanic,62.5,34
226,5,Somali,African-American,22,14
291,4,NA,African-American,3.5,9.5
117,8,Spanish,Hispanic,4.5,11
244,4,Somali,African-American,44.5,30.5
272,5,Spanish,Hispanic,14,19
244,3,NA,African-American,27,11
226,5,NA,African-American,7.5,2
117,8,NA,Asian,64,52.5
117,8,NA,M,87,89.5
205,5,NA,I,44.5,34
249,8,NA,African-American,55,5.5
117,8,Somali,African-American,NA,NA
117,7,NA,African-American,55.5,51.5
117,6,Somali,African-American,50,69
244,5,NA,African-American,11.5,13.5
277,3,NA,White,NA,NA
249,4,NA,Asian,46,61.5
117,7,NA,White,87.5,76
272,4,Spanish,Hispanic,57,24.5
272,3,Cantonese,Asian,NA,NA
226,5,Somali,African-American,73.5,29.5
117,8,Cantonese,Asian,76.5,95
244,5,English,White,88.5,64
272,1,Toishanese,Asian,1,1.5
249,5,NA,African-American,32,33
244,5,NA,African-American,62.5,31.5
205,4,English,I,15.5,19
244,5,NA,African-American,54.5,81
252,3,Cantonese,Asian,83.5,91.5
117,6,Cantonese,Asian,86,95.5
205,3,NA,M,97,67.5
117,6,Spanish,Hispanic,2,1
935,8,Mandarin,Asian,61,72
272,4,Spanish,Hispanic,28,11
974,5,NA,M,68,63.5
117,7,Spanish,Hispanic,35,18.5
117,7,NA,African-American,64,66.5
226,4,Vietnamese,M,87.5,88.5
117,7,NA,African-American,91.5,95.5
117,6,Spanish,Hispanic,NA,41
117,6,Cantonese,Asian,62.5,92.5
226,3,Somali,African-American,21,46
212,5,NA,African-American,NA,NA
117,6,Amharic,African-American,45.5,55.5
935,4,Spanish,Hispanic,2.5,17.5
117,7,NA,White,94,94
245,4,NA,African-American,NA,NA
226,4,Somali,African-American,63.5,69
117,7,NA,Asian,67.5,90.5
212,5,Spanish,Hispanic,13.5,35.5
117,6,NA,African-American,64.5,71.5
117,6,Tagalog,Hispanic,83,84
117,7,Vietnamese,Asian,57,64
117,7,NA,African-American,34.5,5.5
245,5,Spanish,Hispanic,NA,NA
226,3,NA,African-American,65,58.5
233,4,NA,African-American,93.5,87
117,8,NA,African-American,15.5,5
117,8,Somali,African-American,41.5,22
117,6,Tigrinya (Tigrigna),African-American,9.5,8.5
226,5,NA,African-American,29.5,31
272,3,Vietnamese,Asian,68,71
212,4,NA,African-American,14.5,15.5
117,6,Oromo (Ethiopia),African-American,40,47
244,4,NA,African-American,7,8
205,3,Chiu Chow,Asian,5.5,40
249,8,NA,African-American,54.5,75
117,6,Tigrinya (Tigrigna),African-American,62.5,NA
245,4,NA,African-American,2.5,6.5
110,8,Lao,Asian,1,1
117,7,Spanish,Hispanic,21,19.5
130,8,NA,African-American,52,37
272,3,Spanish,Hispanic,26,32.5
117,7,Spanish,Hispanic,35.5,33
130,6,NA,African-American,17,23.5
218,3,Cantonese,Asian,52,81
110,6,Somali,African-American,52,27
256,5,NA,African-American,16,22
118,8,English,African-American,NA,NA
117,8,Somali,African-American,3.5,11
226,3,Vietnamese,Asian,35.5,46
117,7,Somali,African-American,24.5,4
117,6,NA,African-American,18,66.5
244,5,Somali,African-American,63.5,34
272,5,NA,Asian,94.5,88.5
226,5,NA,African-American,12,41.5
117,8,Vietnamese,Asian,45.5,61
117,7,Vietnamese,Asian,NA,NA
107,8,NA,African-American,40,71
117,6,Somali,African-American,27,28.5
272,2,Spanish,Hispanic,12.5,57.5
117,8,NA,African-American,26.5,23
110,8,Spanish,Hispanic,50.5,43
211,5,NA,White,16,13.5
118,6,Spanish,Hispanic,1,1
117,7,Spanish,Hispanic,16.5,11
107,6,NA,Hispanic,36,14.5
117,8,Somali,African-American,14.5,9.5
272,3,Mandarin,Asian,92.5,95.5
244,5,NA,African-American,36,39
249,6,NA,African-American,9.5,15
245,0,NA,African-American,NA,NA
117,8,NA,African-American,45.5,75
255,5,Somali,African-American,NA,NA
244,4,NA,African-American,11.5,18
244,5,NA,African-American,1,1.5
117,6,NA,M,38,38
117,7,Somali,African-American,18.5,5.5
117,8,Spanish,Hispanic,54.5,40
249,7,NA,African-American,18,8
117,8,NA,African-American,77.5,44
212,4,Oromo (Ethiopia),African-American,3,15
272,2,Somali,African-American,7,5
117,6,NA,African-American,70,55.5
117,8,Tagalog,Asian,39,32
117,8,Spanish,Hispanic,32.5,50.5
212,4,Somali,African-American,2,2
212,4,Spanish,Hispanic,4,4.5
226,4,NA,African-American,64,52.5
930,6,Somali,African-American,60.5,59.5
117,7,Toishanese,Asian,61,85
117,8,NA,African-American,NA,NA
117,8,NA,Asian,87.5,96.5
212,3,NA,White,NA,NA
117,6,Oromo (Ethiopia),African-American,5.5,15.5
205,3,NA,African-American,37.5,50.5
226,5,Vietnamese,Asian,83,90.5
226,2,NA,M,5.5,9.5
117,6,NA,Hispanic,60,59.5
255,5,Cantonese,Asian,40.5,76.5
249,3,NA,Asian,30.5,7.5
255,4,NA,Asian,87.5,96.5
226,5,Spanish,Hispanic,NA,NA
117,6,NA,African-American,50.5,24
226,5,English,Hispanic,48.5,70
117,7,Vietnamese,M,67.5,47.5
252,4,NA,Asian,96.5,91.5
117,6,Spanish,Hispanic,10.5,29
935,3,Oromo (Ethiopia),African-American,32,32
249,5,NA,African-American,15,17
117,6,NA,African-American,77.5,91
212,5,Somali,African-American,NA,NA
117,6,NA,M,49,54.5
288,4,Somali,African-American,81,61.5
249,7,NA,African-American,38,20.5
935,7,NA,African-American,47.5,21.5
974,5,NA,White,90,88
117,7,Spanish,Hispanic,39.5,35.5
117,7,Vietnamese,Asian,22.5,63
226,3,Cantonese,Asian,22.5,73
117,6,Mandarin,Asian,92.5,91
249,4,NA,African-American,14,16.5
117,8,Vietnamese,Asian,84,94.5
117,8,Vietnamese,Asian,17,23
249,8,Oromo (Ethiopia),African-American,12.5,25.5
218,5,NA,African-American,58.5,55.5
103,8,NA,M,77.5,95.5
117,6,NA,Asian,93.5,89
117,7,Toishanese,Asian,51.5,75
117,7,Somali,African-American,25,44
935,3,Cantonese,Asian,12.5,33
117,7,Spanish,Hispanic,2,4.5
212,5,Somali,African-American,52.5,17
935,5,Vietnamese,Asian,63.5,45
226,1,NA,M,NA,NA
226,5,Amharic,African-American,2.5,1
117,6,Oromo (Ethiopia),African-American,64.5,56
255,5,NA,M,NA,NA
117,7,Cantonese,Asian,65,81.5
117,7,Somali,African-American,53,19.5
117,8,Vietnamese,Asian,70,89.5
244,3,NA,African-American,53,22.5
117,7,NA,Hispanic,88,51.5
118,7,NA,African-American,68,57.5
117,7,Somali,African-American,3.5,6.5
272,5,NA,African-American,15,27
242,3,NA,White,92.5,95.5
117,7,NA,Asian,71,95
117,8,Amharic,African-American,66.5,82
219,5,NA,African-American,27.5,61
935,7,Amharic,African-American,19.5,35
226,4,NA,Hispanic,NA,NA
212,5,NA,African-American,88,83.5
107,7,NA,African-American,75.5,46
211,4,NA,Asian,81,91.5
117,8,Cantonese,Asian,NA,NA
226,5,NA,African-American,73.5,84.5
245,3,NA,African-American,NA,NA
218,4,Somali,African-American,35,35.5
935,5,English,I,17,39.5
244,2,French,M,34.5,23.5
110,8,Ilokano,Asian,22,25
117,8,Somali,African-American,1,2.5
226,3,NA,Hispanic,17,60
212,5,Somali,African-American,21.5,45
249,4,NA,African-American,50,60
249,8,Oromo (Ethiopia),African-American,21.5,15.5
117,8,Oromo (Ethiopia),African-American,54.5,65.5
245,5,NA,African-American,2,4
244,3,NA,African-American,38.5,39
249,3,NA,White,55.5,68.5
117,8,NA,White,96,97
252,4,NA,Asian,1.5,1.5
226,3,Vietnamese,M,27,43.5
117,8,NA,African-American,NA,NA
935,6,NA,White,67.5,81.5
205,5,NA,White,NA,NA
243,3,NA,Asian,89,97.5
107,6,NA,African-American,60,64
117,8,NA,Hispanic,75.5,51
244,3,Somali,African-American,8,17
226,5,NA,Hispanic,48.5,21.5
226,4,Russian,White,51.5,33.5
118,8,NA,White,36,37.5
117,8,Oromo (Ethiopia),African-American,NA,NA
218,4,Somali,African-American,3,6
249,6,NA,White,NA,NA
272,5,Spanish,Hispanic,29.5,39.5
244,5,Somali,African-American,17.5,23
935,5,Cantonese,Asian,57,66
117,7,Mandarin,Asian,58,82.5
935,5,Amharic,African-American,40,51.5
244,4,NA,African-American,NA,NA
935,8,Spanish,Hispanic,43.5,46.5
104,7,Somali,African-American,NA,NA
226,3,NA,M,83.5,87.5
117,6,NA,African-American,1,NA
249,4,NA,African-American,54,64
117,6,NA,M,96,75
117,7,Somali,African-American,15.5,5
117,7,Spanish,Hispanic,66.5,89
117,6,Somali,African-American,67.5,71
212,3,Somali,African-American,5.5,2.5
249,4,NA,African-American,14.5,42.5
117,8,Spanish,Hispanic,22,44
212,5,Somali,African-American,1,2.5
935,8,Toishanese,Asian,17.5,38
117,6,Russian,White,21,10
117,6,NA,White,96,97
244,5,Spanish,Hispanic,38.5,33
115,7,NA,African-American,34,33.5
110,8,NA,African-American,70.5,77.5
117,7,Vietnamese,Asian,86,96.5
117,6,Cantonese,Asian,84,95
939,3,NA,Hispanic,61,35.5
212,4,Somali,African-American,18,24.5
226,5,Oromo (Ethiopia),African-American,53,54.5
117,7,Vietnamese,Asian,2,13
117,6,NA,White,85,95.5
117,6,Vietnamese,Asian,67,79
272,3,Spanish,Hispanic,13,5
117,8,Cantonese,Asian,50.5,87.5
226,3,Cantonese,Asian,2,13.5
117,8,NA,African-American,5.5,4
252,5,Cantonese,Asian,76.5,94.5
226,4,NA,African-American,58.5,60
226,5,Vietnamese,Asian,41.5,83
272,3,Mandarin,Asian,65,68.5
117,8,NA,African-American,9,2
244,5,NA,M,76,68.5
249,5,NA,African-American,2.5,26
205,3,NA,Asian,89,99
244,3,NA,Asian,NA,NA
117,6,English,African-American,NA,NA
249,7,NA,African-American,62.5,48
249,7,English,Asian,59.5,81.5
117,6,NA,Asian,74.5,90
117,6,Vietnamese,Asian,65,94
226,5,Spanish,Hispanic,1,1
117,7,NA,African-American,49,46
218,5,NA,White,41.5,47
117,6,Cantonese,Asian,55.5,78
117,6,Spanish,Hispanic,11,46
117,8,Tagalog,Asian,56,69
939,8,NA,M,37,79
117,7,Spanish,Hispanic,5.5,44.5
272,4,NA,M,34.5,36.5
117,8,NA,African-American,NA,NA
249,8,NA,White,84.5,29.5
935,7,NA,African-American,1.5,2
117,8,NA,African-American,54.5,31.5
272,3,NA,White,88,94
220,5,NA,Asian,1,1
117,8,NA,African-American,58,33
288,5,NA,White,94,93.5
117,7,NA,M,92,85
249,8,NA,African-American,5.5,16
329,8,Amharic,African-American,NA,NA
117,6,Vietnamese,Asian,72,54.5
939,6,NA,M,24.5,62
935,4,NA,African-American,20,33
251,5,NA,African-American,2.5,6.5
226,3,Spanish,Hispanic,51.5,47.5
272,4,Spanish,Hispanic,30,55.5
117,8,NA,African-American,NA,50
117,7,Vietnamese,Asian,35.5,68
117,6,Amharic,African-American,1,9
130,8,NA,African-American,NA,5.5
245,4,NA,African-American,NA,NA
935,4,NA,African-American,38,38
117,8,NA,Asian,70.5,53
212,5,NA,White,98.5,98.5
935,8,Cantonese,Asian,41,41.5
935,8,NA,African-American,23,23.5
272,3,Spanish,Hispanic,20.5,27.5
117,8,Vietnamese,Asian,73,85
117,6,Somali,African-American,9,2.5
249,2,Spanish,Hispanic,NA,NA
218,5,Somali,African-American,15.5,7.5
935,4,NA,African-American,54,52.5
939,6,NA,Hispanic,17,9.5
212,5,Vietnamese,Asian,43,39
117,6,NA,African-American,18.5,33.5
117,8,Spanish,Hispanic,28.5,56.5
226,5,NA,African-American,4.5,2.5
117,8,NA,P,40,19.5
117,7,Vietnamese,Asian,80,90.5
212,2,NA,I,27,58.5
212,3,Spanish,Hispanic,35.5,28
117,7,Somali,African-American,7.5,36.5
117,6,Vietnamese,Asian,68.5,62
244,4,NA,White,75,61
226,3,Vietnamese,Asian,49,50.5
251,5,Somali,African-American,NA,13
117,8,Somali,African-American,NA,NA
117,6,NA,African-American,72.5,91
272,5,Vietnamese,Asian,51,34.5